index,mean_stemLength,c_stemLength,SD_stemLength,sample_size
229,34.7,"34.5, 35.2, 35, 34.6, 34.3, 34.4, 35.1, 34.7, 34.7",0.3,9
230,62.1,"61.4, 62.7, 62.1",0.7,3
231,,,,
232,46.0,"43.9, 48.5, 48.5, 44.3, 43.7, 44.3, 48.5, 46, 46",2.1,9
233,,,,
234,,,,
235,,,,
236,153.3,"154.8, 151.7",2.2,2
237,91.9,"90, 93.7, 91.9",1.9,3
238,,,,
239,,,,
240,45.4,"45.7, 45.8, 45.4, 45.4, 45.3, 45, 45.4, 45.4, 45.4",0.2,9
241,,,,
242,77.4,"84.4, 54.4, 84.1, 86.7, 77.4",13.3,5
243,18.0,"18.2, 17.8, 18, 18.3, 18.9, 17.1, 18, 18, 18",0.5,9
244,,,,
245,,,,
246,113.5,"113.5, 113.4",0.1,2
247,,,,
248,,,,
249,53.4,"52.8, 54, 53.4",0.6,3
250,43.8,"42.2, 42.6, 42.2, 54.5, 42.6, 42.6, 42.6, 42.6, 42.6, 43.8, 43.8",3.6,11
251,,,,
252,,,,
253,,,,
254,,,,
255,,,,
256,,,,
257,,,,
258,,,,
259,,,,
260,,,,
261,86.8,"84.8, 88.8, 86.8",2.0,3
262,,,,
263,,,,
264,,,,
265,116.8,"116.4, 117.2, 116.8",0.4,3
266,,,,
267,,,,
268,98.4,"98.4, 98.3",0.1,2
269,,,,
270,,,,
271,,,,
272,,,,
273,,,,
274,54.2,"54.1, 55, 53.4, 54.5, 54.3, 54.2, 53.9, 54.2, 54.2, 54.2",0.4,10
275,,,,
276,,,,
277,,,,
278,,,,
279,59.9,"60.5, 60.3, 60.1, 60, 59.6, 59.6, 59, 59.8, 59.9, 59.9",0.4,10
280,49.1,"45.7, 52.5, 49.1",3.4,3
281,76.0,"67.1, 78, 78.6, 76.8, 77.9, 77.8, 76, 76",3.7,8
282,22.7,"26.1, 22.7, 22.7, 22.4, 22.3, 21.1, 22.2, 22.1, 22.7, 22.7",1.3,10
283,,,,
284,,,,
285,,,,
286,,,,
287,39.5,"38.7, 38.7, 39.8, 35.2, 39.3, 47.7, 38, 38.8, 39.5, 39.5",3.2,10
288,28.6,"28.3, 27.7, 27.9, 26.5, 35.1, 27.2, 27.4, 28.6",2.7,8
289,69.7,"70, 69.6, 69.8, 69.5, 69.7, 69.7, 69.7",0.2,7
290,,,,
291,,,,
292,,,,
293,141.0,"140.8, 141.1",0.2,2
294,34.5,"34.4, 34.8, 34.5, 34.7, 34.5, 34.3, 34.3, 34.2",0.2,8
295,,,,
296,43.6,"44, 43.8, 44.5, 43, 43.5, 43.2, 43.4, 43.2, 43.5, 43.6",0.4,10
297,,,,
298,47.8,"48.1, 48.5, 47.5, 47.5, 47.7, 47.7, 47.5, 47.8, 47.8",0.3,9
299,,,,
300,,,,
301,98.8,"99.3, 98.3",0.7,2
302,50.9,"55.2, 50.2, 50.5, 50.3, 50, 50.4, 49.8, 50.9, 50.9",1.6,9
303,,,,
304,,,,
305,74.7,"75.1, 74.3, 75, 75.2, 74.4, 74.2, 74.8, 74.7, 74.7",0.4,9
306,,,,
