Sample_Name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Sample_Species,index,label,MaternalLine,FlowerHead,State,County,Latitude,Longitude,Google_latitude,Google_longitude,Adapted_Longitude,Adapted_Latitude,PC1_variance,PC2_variance,shape_number
Boltonia_220,0.0154038,-0.00125197,0.00121324,-0.00564395,-0.0077951,6.55222e-4,1.44022e-4,0.00754785,-2.41754e-4,3.11572e-4,B. decurrens,220,10-6-2,2011-2675-1,12B,Illinois,Schuyler,40.0672223,-90.4275,40.07010712467176,-90.42899627731744,-90.4275,40.0672223,4.494366810369465,1.7090556653626248,23
Boltonia_221,0.0180424,-0.00193251,0.00177786,-0.0133228,-0.020625,0.002506,-0.00464746,0.0442143,0.00118459,-0.00142042,B. decurrens,221,6-6-10,2011-2629-1,14A,Illinois,Marshal,41.045,-89.4311111,41.02868892611459,-89.43846248262098,-89.4311111,41.045,4.494366810369465,1.7090556653626248,23
Boltonia_222,0.015873,-0.00265868,0.00126544,-0.00836351,-0.0110006,0.00270695,-0.00355503,0.0213453,-2.78178e-4,-0.00111679,B. decurrens,222,3-4-11,2011-2661-1,15A,Illinois,Tazewell,NA,NA,40.69584983597212,-89.54394792156027,-89.54394792156027,40.69584983597212,4.494366810369465,1.7090556653626248,23
Boltonia_223,-0.126186,0.0918413,0.0470372,-0.0449074,0.00503739,0.0149143,0.00114365,5.18555e-4,0.00308385,0.00890773,B. decurrens,223,10-2-9,2011-2636-1,9,Illinois,Cass,40.010555600000004,-90.4458333,40.0178975293398,-90.42445029519196,-90.4458333,40.010555600000004,4.494366810369465,1.7090556653626248,23
Boltonia_224,0.0148478,-0.0010529,0.0012195,-0.00188452,-9.01715e-4,2.16329e-4,7.02619e-5,0.00518535,4.52276e-4,9.22487e-4,B. decurrens,224,8-6-4,2011-2638-1,12C,Illinois,Scott,39.7852777,-90.5902777,39.786569766256626,-90.58910563509704,-90.5902777,39.7852777,4.494366810369465,1.7090556653626248,23
Boltonia_225,0.0181111,-0.00125535,0.00311571,-0.00802516,-0.0119246,0.00177095,-4.64207e-4,0.00994209,-3.56019e-5,1.14515e-5,B. decurrens,225,8-5-8,2011-2598-1,S6B,Illinois,Jersey,NA,NA,38.961398423802066,-90.51481032460988,-90.51481032460988,38.961398423802066,4.494366810369465,1.7090556653626248,23
Boltonia_226,-0.00638113,0.00357936,3.74354e-4,0.0549024,0.070761,-0.0113465,0.00190457,-0.00463837,-0.00228905,0.023123,B. decurrens,226,6-2-7,2011-2599-1,4,Illinois,Saint Clair,38.6494444,-90.1161111,38.651507278988504,-90.10298738781108,-90.1161111,38.6494444,4.494366810369465,1.7090556653626248,23
Boltonia_227,0.0189316,-0.00277537,-3.94664e-4,-0.0175611,-0.0274272,0.0042276,0.0130528,-0.103494,-0.00160858,-3.45378e-4,B. decurrens,227,7-5-4,2011-2613-1,18A,Illinois,Fulton,40.2047222,-90.1994444,40.20813714639404,-90.18724497777134,-90.1994444,40.2047222,4.494366810369465,1.7090556653626248,23
Boltonia_228,0.018161,-0.002002,0.00302118,-0.0134393,-0.0203386,0.00261259,-0.00433458,0.0438562,6.55194e-4,-3.19655e-4,B. decurrens,228,9-3-8,2011-2629-1,30A,Illinois,Marshal,41.045,-89.4311111,41.02868892611459,-89.43846248262098,-89.4311111,41.045,4.494366810369465,1.7090556653626248,23
Boltonia_229,0.0170795,-0.00249304,0.00176798,-0.0116812,-0.0166824,0.0020073,-0.0044358,0.0312838,5.44583e-4,3.63085e-4,B. decurrens,229,2-1-8,2011-2618-1,26A,Illinois,Peoria,40.7222223,-89.5519444,40.69352232924267,-89.59142458669179,-89.5519444,40.7222223,4.494366810369465,1.7090556653626248,23
Boltonia_230,0.0170852,-7.6254e-4,0.00153508,-0.0111461,-0.016436,0.00169095,-0.00283544,0.0288196,-7.04075e-4,3.54259e-4,B. decurrens,230,1-6-9,2011-2618-1,1B,Illinois,Peoria,40.7222223,-89.5519444,40.69352232924267,-89.59142458669179,-89.5519444,40.7222223,4.494366810369465,1.7090556653626248,23
Boltonia_231,0.0139158,-0.00151469,0.00302079,-0.00344429,-0.00598828,0.00105773,1.04647e-4,0.00552055,-0.00117979,4.75501e-4,B. decurrens,231,2-3-6,2011-2666-1,11B,Illinois,Fulton,40.4925,-89.9022222,40.46699902833787,-89.9485498557629,-89.9022222,40.4925,4.494366810369465,1.7090556653626248,23
Boltonia_232,0.0186492,-0.00206042,0.00118558,-0.0125041,-0.0172406,0.00227199,-0.00340628,0.0391679,0.00176289,-7.9571e-4,B. decurrens,232,7-4-12,2011-2650-1,6B,Illinois,Woodford,40.8852777,-89.4583333,40.84668797480775,-89.0297386240063,-89.4583333,40.8852777,4.494366810369465,1.7090556653626248,23
