index,mean_stemLength,c_stemLength,SD_stemLength,sample_size
277,NA,NA,NA,NA
278,NA,NA,NA,NA
279,59.825,"60.1, 60, 59.6, 59.6",0.262995563967658,4
280,NA,NA,NA,NA
281,77.8,"78, 78.6, 76.8",0.9165151389911671,3
282,22.125,"22.7, 22.4, 22.3, 21.1",0.704154339142586,4
283,NA,NA,NA,NA
284,NA,NA,NA,NA
285,NA,NA,NA,NA
286,NA,NA,NA,NA
287,37.5,"39.8, 35.2",3.2526911934581144,2
288,27.2,"27.9, 26.5",0.9899494936611655,2
289,69.69999999999999,"69.6, 69.8",0.14142135623731153,2
290,NA,NA,NA,NA
291,NA,NA,NA,NA
292,NA,NA,NA,NA
293,NA,NA,NA,NA
294,34.6,"34.5, 34.7",0.14142135623731153,2
295,NA,NA,NA,NA
296,43.525,"44.5, 43, 43.2, 43.4",0.6701989754294363,4
297,NA,NA,NA,NA
298,47.78,"48.5, 47.5, 47.5, 47.7, 47.7",0.4147288270665541,5
299,NA,NA,NA,NA
300,NA,NA,NA,NA
301,NA,NA,NA,NA
302,50.3,50.3,NA,1
303,NA,NA,NA,NA
304,NA,NA,NA,NA
305,74.80000000000001,"75.2, 74.4",0.565685424949236,2
306,NA,NA,NA,NA
307,36.45,"36.5, 36.4",0.07071067811865576,2
308,NA,NA,NA,NA
309,NA,NA,NA,NA
310,NA,NA,NA,NA
311,NA,NA,NA,NA
312,NA,NA,NA,NA
313,NA,NA,NA,NA
314,NA,NA,NA,NA
315,41.4,"41.3, 41.5",0.14142135623731153,2
316,NA,NA,NA,NA
317,54.620000000000005,"57.2, 56.5, 46.2, 56.6, 56.6",4.715082183801253,5
318,NA,NA,NA,NA
319,NA,NA,NA,NA
320,NA,NA,NA,NA
321,NA,NA,NA,NA
322,NA,NA,NA,NA
323,30.259999999999998,"33.6, 33.9, 23.1, 27.9, 32.8",4.682200337448195,5
324,NA,NA,NA,NA
325,48.56666666666667,"51.7, 42.4, 51.6",5.340724045795041,3
326,NA,NA,NA,NA
327,NA,NA,NA,NA
328,NA,NA,NA,NA
329,NA,NA,NA,NA
330,NA,NA,NA,NA
331,NA,NA,NA,NA
332,19.3,19.3,NA,1
333,NA,NA,NA,NA
334,NA,NA,NA,NA
335,NA,NA,NA,NA
336,NA,NA,NA,NA
337,52.025,"45.5, 54.2, 54.1, 54.3",4.350766216043637,4
338,NA,NA,NA,NA
339,NA,NA,NA,NA
340,NA,NA,NA,NA
341,NA,NA,NA,NA
342,NA,NA,NA,NA
343,NA,NA,NA,NA
344,49.7,"49.6, 50.1, 49.4",0.3605551275464001,3
345,NA,NA,NA,NA
346,NA,NA,NA,NA
347,NA,NA,NA,NA
348,NA,NA,NA,NA
349,NA,NA,NA,NA
350,NA,NA,NA,NA
351,NA,NA,NA,NA
352,NA,NA,NA,NA
353,NA,NA,NA,NA
354,NA,NA,NA,NA
355,53.150000000000006,"52.5, 52.7, 52.7, 54.7",1.037625494418226,4
356,53.800000000000004,"47.6, 47.7, 57.6, 57.9, 58.2",5.618273756235094,5
357,NA,NA,NA,NA
358,NA,NA,NA,NA
359,NA,NA,NA,NA
360,NA,NA,NA,NA
361,32.9,32.9,NA,1
362,NA,NA,NA,NA
363,NA,NA,NA,NA
364,NA,NA,NA,NA
365,NA,NA,NA,NA
366,NA,NA,NA,NA
367,NA,NA,NA,NA
368,NA,NA,NA,NA
369,NA,NA,NA,NA
370,NA,NA,NA,NA
371,NA,NA,NA,NA
372,44.2,"40, 43.8, 44.2, 48.8",3.6037018004638868,4
373,NA,NA,NA,NA
374,NA,NA,NA,NA
375,57.72,"49.3, 59, 60, 60.4, 59.9",4.734659438650262,5
376,NA,NA,NA,NA
377,55.56,"46.5, 56, 56.3, 56.5, 62.5",5.741776728504862,5
378,NA,NA,NA,NA
379,NA,NA,NA,NA
380,NA,NA,NA,NA
381,51.1,"43.4, 53, 52.7, 53.4, 53",4.311612227462021,5
382,NA,NA,NA,NA
383,NA,NA,NA,NA
384,NA,NA,NA,NA
385,NA,NA,NA,NA
386,NA,NA,NA,NA
387,NA,NA,NA,NA
388,NA,NA,NA,NA
389,44.6,"38.4, 46, 46.9, 47.1",4.160929383362969,4
390,NA,NA,NA,NA
391,NA,NA,NA,NA
392,NA,NA,NA,NA
393,NA,NA,NA,NA
394,NA,NA,NA,NA
395,NA,NA,NA,NA
396,NA,NA,NA,NA
397,NA,NA,NA,NA
398,NA,NA,NA,NA
399,NA,NA,NA,NA
400,NA,NA,NA,NA
401,NA,NA,NA,NA
402,52.06,"53, 43.2, 53, 53.2, 57.9",5.377545908683624,5
403,NA,NA,NA,NA
404,NA,NA,NA,NA
405,NA,NA,NA,NA
406,NA,NA,NA,NA
407,NA,NA,NA,NA
408,NA,NA,NA,NA
409,NA,NA,NA,NA
410,60.24,"50.8, 61, 62.2, 62.9, 64.3",5.410452846111867,5
411,NA,NA,NA,NA
412,NA,NA,NA,NA
413,NA,NA,NA,NA
414,NA,NA,NA,NA
415,NA,NA,NA,NA
416,NA,NA,NA,NA
417,59.974999999999994,"60, 60.3, 59.8, 59.8",0.2362907813126305,4
418,NA,NA,NA,NA
419,NA,NA,NA,NA
420,40.660000000000004,"34.5, 40, 42.7, 42.9, 43.2",3.674642839787291,5
421,NA,NA,NA,NA
422,NA,NA,NA,NA
423,NA,NA,NA,NA
424,NA,NA,NA,NA
425,NA,NA,NA,NA
426,NA,NA,NA,NA
427,NA,NA,NA,NA
428,NA,NA,NA,NA
429,NA,NA,NA,NA
430,NA,NA,NA,NA
431,NA,NA,NA,NA
432,NA,NA,NA,NA
433,NA,NA,NA,NA
434,NA,NA,NA,NA
435,NA,NA,NA,NA
436,NA,NA,NA,NA
437,NA,NA,NA,NA
438,65.4,65.4,NA,1
439,NA,NA,NA,NA
440,NA,NA,NA,NA
441,65.75,"65.5, 66",0.3535533905932738,2
442,NA,NA,NA,NA
443,NA,NA,NA,NA
444,NA,NA,NA,NA
445,53.6,"43.2, 64",14.707821048680186,2
446,NA,NA,NA,NA
447,NA,NA,NA,NA
448,NA,NA,NA,NA
449,NA,NA,NA,NA
450,NA,NA,NA,NA
451,NA,NA,NA,NA
452,NA,NA,NA,NA
453,NA,NA,NA,NA
454,NA,NA,NA,NA
455,NA,NA,NA,NA
456,NA,NA,NA,NA
457,NA,NA,NA,NA
458,NA,NA,NA,NA
459,NA,NA,NA,NA
460,NA,NA,NA,NA
461,NA,NA,NA,NA
462,NA,NA,NA,NA
463,NA,NA,NA,NA
464,NA,NA,NA,NA
465,NA,NA,NA,NA
466,NA,NA,NA,NA
467,NA,NA,NA,NA
468,71.1,71.1,NA,1
